query,label,length,num_keywords,has_comment,num_quotes,num_semicolons,has_union,has_exec,has_sleep,injection_type
SELECT * FROM customers WHERE email = 'alice' AND password = '8996'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM logs WHERE action = 'login' AND user_id = 3 OR (SELECT COUNT(*) FROM users) > 0; --,injection,97,7,True,2,1,False,False,False,other
SELECT COUNT(*) FROM orders WHERE product_id = 72;,safe,50,3,False,0,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 16;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM products WHERE id = 43;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 18 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM users WHERE username = 'alice' AND password = '5997' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
SELECT * FROM users WHERE username = 'carol' AND password = '2464';,safe,67,4,False,4,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 24 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM users WHERE username = 'alice' AND password = '9546';,safe,67,4,False,4,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 24);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM logs WHERE action = 'login' AND user_id = 31 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
SELECT * FROM logs WHERE action = 'login' AND user_id = 7 OR (SELECT COUNT(*) FROM users) > 0; --,injection,97,7,True,2,1,False,False,False,other
SELECT * FROM customers WHERE email = 'carol' AND password = '3548'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT COUNT(*) FROM orders WHERE product_id = 56;,safe,50,3,False,0,1,False,False,False,none
SELECT * FROM employees WHERE department = 'hr';,safe,48,3,False,2,1,False,False,False,none
SELECT * FROM login WHERE username = 'bob' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,89,5,True,6,2,False,True,False,code execution
UPDATE users SET last_login = NOW() WHERE id = 39;,safe,50,2,False,0,1,False,False,False,none
UPDATE inventory SET stock = stock - 1 WHERE product_id = 34;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 19 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT email FROM customers WHERE customer_id = 46;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM customers WHERE email = 'bob' AND password = '8007'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,110,6,True,7,3,False,True,False,data manipulation
UPDATE users SET last_login = NOW() WHERE id = 9;,safe,49,2,False,0,1,False,False,False,none
SELECT COUNT(*) FROM orders WHERE product_id = 17;,safe,50,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob'; DROP TABLE users; --,injection,64,4,True,2,2,False,False,False,data manipulation
